"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"408","Simi Fehoko","ARZ","wr","14","17","19.9","0","0","0","0","0","0","0","0","0","0","15.4832","9.5407","114.7031","0.6177","0.1028","0.0568","0.0373","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"409","Malik Benson","LV","wr","13","17","19.5","0","0","0","0","0","0","0","0","0","0","14.1935","9.0396","111.9191","0.6332","0.0974","0.0538","0.0338","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"410","Jimmy Horn Jr.","CAR","wr","5","17","18.3","0","0","0","0","0","0","0","5.3601","32.0194","0.1476","11.0718","7.3318","79.7709","0.4351","0.1515","0.0755","0.0321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"411","Josh Cameron","JAX","wr","7","17","18.3","0","0","0","0","0","0","0","0","0","0","13.613","8.6369","103.2585","0.6221","0.0931","0.0514","0.0365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"412","Ja'seem Reed","CAR","wr","5","17","18.3","0","0","0","0","0","0","0","0","0","0","13.8398","8.8403","104.0322","0.5911","0.0953","0.0526","0.0332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"413","KeAndre Lambert-Smith","LAC","wr","7","17","17.9","0","0","0","0","0","0","0","0","0","0","12.9703","7.9511","102.5235","0.6098","0.0857","0.0473","0.033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"414","Devin Duvernay","ARZ","wr","14","17","17.1","0","0","0","0","0","0","0","0","0","0","11.3147","7.2246","79.4514","0.4603","0.0779","0.043","0.0273","1064.6895","0.4684","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"415","Nikko Remigio","KC","wr","5","17","15.1","0","0","0","0","0","0","0","0.369","2.1631","0.013","9.1382","5.8313","70.2872","0.4477","0.0679","0.0369","0.024","727.5645","0.3664","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"416","Efton Chism III","NE","wr","11","17","14.4","0","0","0","0","0","0","0","0","0","0","9.1881","5.9234","75.2193","0.4742","0.0639","0.0352","0.0264","697.0845","0.1782","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"417","Ben Skowronek","PIT","wr","9","17","14","0","0","0","0","0","0","0","0","0","0","10.5539","6.9032","74.964","0.5119","0.0744","0.0411","0.0267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"418","Skyy Moore","GB","wr","11","17","13.6","0","0","0","0","0","0","0","0","0","0","8.3539","5.3975","60.0303","0.3733","0.0582","0.0321","0.0246","1011.6246","0.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"419","Jason Brownlee","KC","wr","5","17","12.8","0","0","0","0","0","0","0","0","0","0","9.1382","5.8058","70.6348","0.4745","0.0626","0.0345","0.0235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"420","Demarcus Robinson","SF","wr","8","17","12.6","0","0","0","0","0","0","0","0","0","0","8.5988","5.4546","71.7499","0.451","0.0588","0.0325","0.0247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"421","Cody White","SEA","wr","11","17","11.8","0","0","0","0","0","0","0","0","0","0","8.2641","5.3437","64.3303","0.3829","0.0576","0.0318","0.0236","270.259","0.0691","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"422","Kaden Wetjen","PIT","wr","9","17","11.4","0","0","0","0","0","0","0","0.7862","4.7004","0.041","5.8633","3.7239","44.3949","0.2893","0.0508","0.0268","0.0158","1023.6783","0.4493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"423","Odell Beckham Jr.","NYG","wr","8","17","11","0","0","0","0","0","0","0","0","0","0","8.2866","5.0881","62.1085","0.3736","0.0548","0.0303","0.0221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"424","Tom Kennedy","DET","wr","6","17","10.9","0","0","0","0","0","0","0","0","0","0","8.172","5.3843","60.8631","0.358","0.058","0.032","0.0247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"425","Myles Price","MIN","wr","6","17","10.8","0","0","0","0","0","0","0","0","0","0","5.5498","3.5895","41.8353","0.2354","0.0387","0.0214","0.0141","1491.1099","0.5665","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"426","Malachi Corley","CLV","wr","11","17","10.1","0","0","0","0","0","0","0","10.1713","58.3464","0.5216","0","0","0","0","0.1376","0.0605","0.0101","816.5835","0.2087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
